source_id,ra,dec,parallax,parallax_err,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
4689614630908355840,5.547847,-72.152763,-0.415,0.141,17.826,18.029,17.233
4689619024677683968,5.510150,-72.058502,0.204,0.264,18.999,18.998,18.188
4689618268763464960,5.520558,-72.073875,0.397,0.295,19.507,19.624,18.711
4689613870688216704,5.545868,-72.159988,0.203,0.122,17.943,17.930,17.134
4689619028943881984,5.485667,-72.066765,0.058,0.611,20.331,19.968,19.218
4689618268747895168,5.498147,-72.076843,-0.008,0.520,20.175,20.398,19.211
4689619024662191232,5.514433,-72.054558,0.313,0.109,17.795,18.011,17.224
4689618273040539520,5.522332,-72.069931,0.253,0.076,17.118,17.363,16.522
4689614970201502720,5.530249,-72.114876,-0.003,0.218,18.863,19.018,18.196
4689618268763465472,5.524025,-72.072487,0.383,0.359,19.662,19.724,18.703
4689614970233156096,5.506794,-72.117630,0.383,0.072,17.123,17.414,16.589
4689619024677684864,5.518685,-72.057693,0.183,0.614,19.355,19.218,18.222
4689619028943875328,5.496987,-72.060463,0.114,0.195,18.727,18.585,17.846
4689618200028489216,5.522471,-72.086891,1.243,0.524,20.183,20.167,18.968
4689618200043988992,5.525507,-72.077194,1.146,0.409,19.930,19.947,19.068
4689619299526991232,5.503504,-72.041855,0.476,0.187,18.676,18.726,17.904
4689614699627826176,5.534087,-72.145752,-1.593,0.734,19.585,19.162,18.152
4689617925139000576,5.508626,-72.111664,0.254,0.141,18.394,18.634,17.845
4689617993890237056,5.505379,-72.098145,-0.130,1.014,20.866,21.000,19.916
4689618204321079808,5.490512,-72.084351,0.201,0.164,18.497,18.752,17.877
4689614630908349824,5.544671,-72.147583,0.624,0.177,18.621,18.715,17.839
4689619028943875968,5.495875,-72.061005,1.393,0.516,19.493,19.278,18.075
4689618268763441664,5.525103,-72.068092,0.133,0.155,18.519,18.598,17.869
4689614695355300352,5.530390,-72.142853,1.004,0.502,19.893,20.011,18.955
4689614970233258624,5.500823,-72.118500,0.528,0.605,20.239,19.711,19.117
4689614974505709184,5.512544,-72.120811,0.187,0.302,19.501,19.400,18.523
4689618273030151936,5.482436,-72.077278,-0.048,0.684,20.283,20.385,19.336
4689614695335241344,5.544089,-72.134628,0.121,0.217,18.897,19.093,18.245
4689618204321081600,5.482047,-72.085594,-1.205,0.397,19.808,19.621,18.739
4689617998151772416,5.513716,-72.099419,0.403,0.289,19.331,19.535,18.707
4689617925170659200,5.492463,-72.114624,0.341,0.146,18.367,18.773,17.568
4689617993858491264,5.509690,-72.095406,2.334,0.424,19.766,19.713,18.765
4689617993890135680,5.486400,-72.101898,0.275,0.107,17.764,18.013,17.242
4689618204321081472,5.485816,-72.086029,0.186,0.091,17.651,17.818,17.026
4689614970199518208,5.521418,-72.117332,0.019,0.116,17.732,17.949,17.197
4689617929443194368,5.510945,-72.106895,0.301,0.075,17.307,17.581,16.798
4689614901493672960,5.544722,-72.133347,-0.004,0.189,18.794,19.026,18.161
4689619028943880192,5.485166,-72.063889,0.103,0.197,18.812,19.081,18.103
4689614970233205504,5.517861,-72.126099,1.136,0.388,19.663,19.489,18.525
4689614630908351872,5.548906,-72.149689,0.181,0.018,13.907,14.358,13.302
4689614974505714304,5.516344,-72.125267,0.077,0.078,16.589,16.965,15.902
4689617929443193984,5.517781,-72.107437,0.271,0.124,18.181,18.378,17.556
4689617998162652288,5.529025,-72.092361,-0.049,0.143,18.365,18.580,17.757
4689618204321083264,5.496268,-72.088760,0.172,0.109,17.982,18.256,17.466
4689624797117741056,6.004311,-72.180916,0.418,0.184,18.588,18.662,17.804
4689623014685827712,6.130873,-72.197739,0.360,0.103,17.796,17.883,17.112
4689624560874120064,5.918749,-72.202370,0.977,0.107,17.458,17.650,16.838
4689624487880216576,5.930593,-72.217438,-0.339,0.427,19.835,19.503,18.576
4689621429867338880,5.908596,-72.240456,0.800,1.291,20.803,20.411,19.576
4689624320356226304,5.762481,-72.210777,-0.276,0.184,18.653,18.590,17.864
4689621498583057408,6.027152,-72.220543,1.164,0.661,20.212,20.143,19.329
4689623628877897856,6.319611,-72.143250,1.815,0.737,19.718,19.489,18.550
4689621498565068288,6.026687,-72.216316,0.072,0.319,19.432,19.607,18.616
4689621292428318208,5.991951,-72.235825,0.302,0.132,18.240,18.313,17.474
4689623117754199296,6.197338,-72.187225,0.109,0.099,17.558,17.569,16.793
4689625110630208512,5.696848,-72.202667,3.875,0.859,20.242,19.971,18.925
4689622980316275840,6.079486,-72.214066,1.298,0.404,19.815,19.748,18.873
4689623457055150720,6.376873,-72.163429,-0.110,0.224,18.267,18.083,17.255
4689625278153594880,5.628470,-72.193420,0.662,0.313,19.332,19.120,18.098
4689622941660190208,6.253177,-72.183899,0.703,0.138,17.122,17.087,16.276
4689623457071224832,6.378289,-72.155762,0.384,0.126,17.987,18.038,17.115
4689622980326155648,6.038195,-72.216660,0.231,0.093,17.572,17.779,17.056
4689621296689181568,6.009067,-72.234985,0.649,0.240,19.131,19.155,18.292
4689621567302534272,6.027342,-72.211960,0.639,0.321,19.300,19.308,18.422
4689623182192700928,6.180301,-72.181541,-0.801,0.530,19.678,19.023,18.223
4689624492154642944,5.969851,-72.208313,0.273,0.259,19.269,19.289,18.615
4689623083395375744,6.108099,-72.191483,0.431,0.323,18.685,18.461,17.568
4689622052602376448,6.227318,-72.225151,-0.074,0.267,19.312,19.520,18.482
4689625037603397888,5.741350,-72.213799,0.456,0.129,18.063,18.311,17.476
4689625381220255744,5.694930,-72.180954,0.314,0.079,17.188,17.449,16.672
4689622529364096896,6.321517,-72.199921,2.119,0.858,20.726,20.282,19.554
4689621537207357568,5.938049,-72.229958,-0.012,0.278,19.015,18.792,17.910
4689621502847610880,5.997965,-72.233261,-0.451,0.732,20.091,20.022,18.975
4689623461361824128,6.371447,-72.159454,1.274,0.190,18.444,18.497,17.674
